itemid,count,percentage,label,abbreviation,linksto,category,unitname,param_type,lownormalvalue,highnormalvalue,type,is_in_extract
220045,73163,0.999754034517156,Heart Rate,HR,chartevents,Routine Vital Signs,bpm,Numeric,,,,1
220210,73083,0.9986608545934054,Respiratory Rate,RR,chartevents,Respiratory,insp/min,Numeric,,,,1
220277,73069,0.998469548106749,O2 saturation pulseoxymetry,SpO2,chartevents,Respiratory,%,Numeric,,,,1
220048,72755,0.9941788169060275,Heart Rhythm,Heart Rhythm,chartevents,Routine Vital Signs,,Text,,,26.0,0
220739,72640,0.9926073707656359,GCS - Eye Opening,Eye Opening,chartevents,Neurological,,Text,,,4.0,0
223900,72629,0.9924570585261202,GCS - Verbal Response,Verbal Response,chartevents,Neurological,,Text,,,6.0,0
223901,72618,0.9923067462866044,GCS - Motor Response,Motor Response,chartevents,Neurological,,Text,,,6.0,0
224641,72586,0.9918694743171041,Alarms On,Alarms On,chartevents,Alarms,,Checkbox,,,,0
224080,72558,0.9914868613437914,Head of Bed,HOB,chartevents,Treatments,,Text,,,8.0,0
224082,72476,0.990366351921947,Turn,Turn,chartevents,Treatments,,Text,,,9.0,0
224642,72438,0.9898470914581654,Temperature Site,Temp Site,chartevents,Routine Vital Signs,,Text,,,7.0,0
223986,72435,0.9898060972110247,RUL Lung Sounds,RUL Lung Sounds,chartevents,Pulmonary,,Text,,,13.0,0
223988,72431,0.9897514382148371,LUL Lung Sounds,LUL Lung Sounds,chartevents,Pulmonary,,Text,,,13.0,0
223987,72413,0.9895054727319933,RLL Lung Sounds,RLL Lung Sounds,chartevents,Pulmonary,,Text,,,13.0,0
224168,72410,0.9894644784848526,Parameters Checked,Parameters Checked,chartevents,Alarms,,Checkbox,,,,0
223989,72407,0.989423484237712,LLL Lung Sounds,LLL Lung Sounds,chartevents,Pulmonary,,Text,,,13.0,0
224003,72336,0.9884532870553833,Abdominal Assessment,Abdominal Assessment,chartevents,GI/GU,,Text,,,11.0,0
224026,72283,0.9877290553558984,Skin Integrity,Skin Integrity,chartevents,Skin - Assessment,,Text,,,2.0,0
224086,72268,0.9875240841201951,Activity Tolerance,Activity Tolerance,chartevents,Treatments,,Text,,,4.0,0
223781,72262,0.9874420956259138,Pain Present,Pain Present,chartevents,Pain/Sedation,,Text,,,2.0,0
223999,72259,0.9874011013787731,Oral Cavity,Oral Cavity,chartevents,GI/GU,,Text,,,10.0,0
224027,72251,0.9872917833863981,Skin Temperature,Skin Temp,chartevents,Skin - Assessment,,Text,,,4.0,0
224860,72240,0.9871414711468823,Skin Condition,Skin Condition,chartevents,Skin - Assessment,,Text,,,5.0,0
220047,72223,0.9869091704130853,Heart Rate Alarm - Low,HR Alarm - Low,chartevents,Alarms,bpm,Numeric,,,,0
220046,72220,0.9868681761659447,Heart rate Alarm - High,HR Alarm - High,chartevents,Alarms,bpm,Numeric,,,,0
220181,72209,0.986717863926429,Non Invasive Blood Pressure mean,NBPm,chartevents,Routine Vital Signs,mmHg,Numeric,,,,1
224004,72208,0.9867041991773821,Bowel Sounds,Bowel Sounds,chartevents,GI/GU,,Text,,,4.0,0
220179,72202,0.9866222106831009,Non Invasive Blood Pressure systolic,NBPs,chartevents,Routine Vital Signs,mmHg,Numeric,,,,1
223770,72201,0.9866085459340539,O2 Saturation Pulseoxymetry Alarm - Low,SpO2 Alarm - Low,chartevents,Alarms,%,Numeric,,,,0
220180,72198,0.9865675516869132,Non Invasive Blood Pressure diastolic,NBPd,chartevents,Routine Vital Signs,mmHg,Numeric,,,,1
224028,72194,0.9865128926907257,Skin Color,Skin Color,chartevents,Skin - Assessment,,Text,,,9.0,0
223769,72167,0.9861439444664599,O2 Saturation Pulseoxymetry Alarm - High,SpO2 Alarm - High,chartevents,Alarms,%,Numeric,,,,0
224161,72165,0.9861166149683661,Resp Alarm - High,Resp Alarm - High,chartevents,Alarms,insp/min,Numeric,,,,0
224162,72161,0.9860619559721786,Resp Alarm - Low,Resp Alarm - Low,chartevents,Alarms,insp/min,Numeric,,,,0
224054,72160,0.9860482912231316,Braden Sensory Perception,Braden Sensory Perception,chartevents,Skin - Assessment,,Text,,,4.0,0
224057,72157,0.986007296975991,Braden Mobility,Braden Mobility,chartevents,Skin - Assessment,,Text,,,4.0,0
224055,72155,0.9859799674778973,Braden Moisture,Braden Moisture,chartevents,Skin - Assessment,,Text,,,4.0,0
224056,72153,0.9859526379798035,Braden Activity,Braden Activity,chartevents,Skin - Assessment,,Text,,,4.0,0
224058,72147,0.9858706494855222,Braden Nutrition,Braden Nutrition,chartevents,Skin - Assessment,,Text,,,4.0,0
224059,72134,0.9856930077479127,Braden Friction/Shear,Braden Friction/Shear,chartevents,Skin - Assessment,,Text,,,3.0,0
226253,71853,0.9818532132657384,SpO2 Desat Limit,SpO2 Desat Limit,chartevents,Alarms,%,Numeric,,,,0
224015,71825,0.9814706002924256,Urine Source,Urine Source,chartevents,GI/GU,,Text,,,13.0,0
224001,71821,0.9814159412962381,Diet Type,Diet Type,chartevents,GI/GU,,Text,,,23.0,0
223761,71819,0.9813886117981443,Temperature Fahrenheit,Temperature F,chartevents,Routine Vital Signs,°F,Numeric,,,,1
226732,71766,0.9806643800986595,O2 Delivery Device(s),O2 Delivery Device(s),chartevents,Respiratory,,Text,,,19.0,0
224093,71651,0.9790929339582679,Position,Position,chartevents,Treatments,,Text,,,9.0,0
224031,71586,0.9782047252702204,Edema Location,Edema Location,chartevents,Skin - Incisions,,Text,,,18.0,0
223934,71508,0.9771388748445635,Dorsal PedPulse R,Dorsal PedPulse R,chartevents,Cardiovascular (Pulses),,Text,,,7.0,0
223943,71499,0.9770158921031415,Dorsal PedPulse L,Dorsal PedPulse L,chartevents,Cardiovascular (Pulses),,Text,,,7.0,0
227344,71397,0.9756220877003594,IV/Saline lock,IV/Saline lock,chartevents,Restraint/Support Systems,,Text,,,2.0,0
227345,71396,0.9756084229513124,Gait/Transferring,Gait/Transferring,chartevents,Restraint/Support Systems,,Text,,,5.0,0
227343,71383,0.975430781213703,Ambulatory aid,Ambulatory aid,chartevents,Restraint/Support Systems,,Text,,,8.0,0
227342,71369,0.9752394747270466,Secondary diagnosis,Secondary diagnosis,chartevents,Restraint/Support Systems,,Text,,,2.0,0
227346,71366,0.975198480479906,Mental status,Mental status,chartevents,Restraint/Support Systems,,Text,,,2.0,0
227341,71285,0.9740916358071084,History of falling (within 3 mnths),History of falling (within 3 mnths)*,chartevents,Restraint/Support Systems,,Text,,,2.0,0
224650,71277,0.9739823178147333,Ectopy Type 1,Ectopy Type 1,chartevents,Routine Vital Signs,,Text,,,16.0,0
227442,70410,0.9621349803910851,Potassium (serum),Potassium (serum),chartevents,Labs,None,Numeric with tag,,,,1
220645,70408,0.9621076508929913,Sodium (serum),Sodium (serum),chartevents,Labs,None,Numeric,,,,1
220602,70404,0.9620529918968038,Chloride (serum),Chloride (serum),chartevents,Labs,None,Numeric,,,,1
220615,70373,0.9616293846763504,Creatinine (serum),Creatinine (serum),chartevents,Labs,None,Numeric,,,,1
227443,70364,0.9615064019349284,HCO3 (serum),HCO3 (serum),chartevents,Labs,None,Numeric with tag,,,,1
225624,70363,0.9614927371858816,BUN,BUN,chartevents,Labs,None,Numeric,,,,1
227073,70332,0.9610691299654281,Anion gap,Anion gap,chartevents,Labs,None,Numeric,,,,1
220545,70331,0.9610554652163813,Hematocrit (serum),Hematocrit (serum),chartevents,Labs,None,Numeric,,,,1
220621,70273,0.9602629097716621,Glucose (serum),Glucose (serum),chartevents,Labs,None,Numeric,,,,1
220228,70181,0.9590057528593487,Hemoglobin,Hemoglobin,chartevents,Labs,g/dl,Numeric,,,,1
227457,70144,0.958500157144614,Platelet Count,Platelet Count,chartevents,Labs,None,Numeric with tag,,,,1
220546,70134,0.9583635096541452,WBC,WBC,chartevents,Labs,None,Numeric,,,,1
223783,69855,0.9545510446700647,Pain Location,Pain Location,chartevents,Pain/Sedation,,Text,,,48.0,0
223991,69477,0.9493857695303426,Cough Effort,Cough Effort,chartevents,Pulmonary,,Text,,,3.0,0
220635,69138,0.9447534196034489,Magnesium,Magnesium,chartevents,Labs,None,Numeric,,,,1
223752,68950,0.9421844467826348,Non-Invasive Blood Pressure Alarm - Low,NBP Alarm - Low,chartevents,Alarms,mmHg,Numeric,,,,0
223751,68940,0.942047799292166,Non-Invasive Blood Pressure Alarm - High,NBP Alarm - High,chartevents,Alarms,mmHg,Numeric,,,,0
227240,68790,0.9399980869351334,NBP Alarm Source,NBP Alarm Source,chartevents,Alarms,,Text,,,3.0,0
224016,68719,0.9390278897528047,Urine Color,Urine Color,chartevents,GI/GU,,Text,,,9.0,0
224072,68287,0.9331247181645509,Education Learner,Education Learner,chartevents,Restraint/Support Systems,,Text,,,4.0,0
224073,68223,0.9322501742255503,Education Topic,Education Topic,chartevents,Restraint/Support Systems,,Text,,,38.0,0
224076,68153,0.9312936417922685,Education Barrier,Education Barrier,chartevents,Restraint/Support Systems,,Text,,,12.0,0
224077,68148,0.931225318047034,Education Method,Education Method,chartevents,Restraint/Support Systems,,Text,,,4.0,0
224079,68081,0.9303097798608928,Education Response,Education Response,chartevents,Restraint/Support Systems,,Text,,,4.0,0
224876,67985,0.928997963952392,Urine Appearance,Urine Appearance,chartevents,GI/GU,,Text,,,5.0,0
227944,67912,0.9280004372719695,Side Rails,Side Rails,chartevents,Restraint/Support Systems,,Text,,,4.0,0
227969,67835,0.9269482515953594,Safety Measures,Safety Measures,chartevents,Restraint/Support Systems,,Text,,,19.0,0
225677,67593,0.9236413823260136,Phosphorous,Phosphorous,chartevents,Labs,None,Numeric,,,,1
225625,67547,0.923012803869857,Calcium non-ionized,Calcium non-ionized,chartevents,Labs,None,Numeric,,,,1
223935,67397,0.9209630915128244,PostTib. Pulses R,PostTib Pulses R,chartevents,Cardiovascular (Pulses),,Text,,,7.0,0
223947,67353,0.9203618425547615,PostTib. Pulses L,PostTib Pulses L,chartevents,Cardiovascular (Pulses),,Text,,,7.0,0
223794,67186,0.9180798294639319,Pain Level Acceptable,Pain Level Acceptable,chartevents,Pain/Sedation,,Text,,,5.0,0
223791,66890,0.9140350637460543,Pain Level,Pain Level,chartevents,Pain/Sedation,,Text,,,12.0,0
224023,65821,0.8994274470149356,Support Systems,Support Systems,chartevents,Restraint/Support Systems,,Text,,,10.0,0
223907,65397,0.8936335934190569,Pupil Size Right,Pupil Size Right,chartevents,Neurological,,Text,,,9.0,0
224733,65366,0.8932099861986035,Pupil Size Left,Pupil Size Left,chartevents,Neurological,,Text,,,9.0,0
223792,65334,0.8927727142291032,Pain Management,Pain Management,chartevents,Pain/Sedation,,Text,,,15.0,0
227121,65234,0.8914062393244148,Pupil Response Right,Pupil Response R,chartevents,Neurological,,Text,,,3.0,0
227288,65201,0.8909553026058676,Pupil Response Left,Pupil Response L,chartevents,Neurological,,Text,,,3.0,0
220001,65102,0.8896024924502262,Problem List,Problem List,chartevents,General,,Text,,,1045.0,0
223782,64794,0.8853937497437859,Pain Type,Pain Type,chartevents,Pain/Sedation,,Text,,,22.0,0
224771,64465,0.8808980473073612,RLE Temp,RLE Temp,chartevents,Cardiovascular,,Text,,,4.0,0
224773,64388,0.8798458616307512,LLE Temp,LLE Temp,chartevents,Cardiovascular,,Text,,,4.0,0
224089,64214,0.8774681952965934,Anti Embolic Device,Anti Embolic Device,chartevents,Treatments,,Text,,,4.0,0
223979,64149,0.876579986608546,RLE Color,RLE Color,chartevents,Cardiovascular,,Text,,,8.0,0
224767,64088,0.8757464369166861,RUE Temp,RUE Temp,chartevents,Cardiovascular,,Text,,,4.0,0
223983,64073,0.8755414656809828,LLE Color,LLE Color,chartevents,Cardiovascular,,Text,,,8.0,0
224769,64029,0.8749402167229199,LUE Temp,LUE Temp,chartevents,Cardiovascular,,Text,,,4.0,0
223976,63803,0.8718519834383242,RUE Color,RUE Color,chartevents,Cardiovascular,,Text,,,8.0,0
223982,63737,0.8709501100012298,LUE Color,LUE Color,chartevents,Cardiovascular,,Text,,,8.0,0
228096,62911,0.8596630272885039,Richmond-RAS Scale,Richmond-RAS Scale,chartevents,Pain/Sedation,,Text,,,10.0,0
224000,62617,0.8556455910687201,Nares R,Nares R,chartevents,GI/GU,,Text,,,3.0,0
224879,62322,0.8516144900998893,Nares L,Nares L,chartevents,GI/GU,,Text,,,3.0,0
223795,61849,0.8451510638007133,Pain Assessment Method,Pain Assessment Method,chartevents,Pain/Sedation,,Text,,,8.0,0
223992,61636,0.8422404722537271,Cough Type,Cough Type,chartevents,Pulmonary,,Text,,,5.0,0
227465,61604,0.8418032002842267,Prothrombin time,PT,chartevents,Labs,None,Numeric with tag,,,,1
227467,61603,0.8417895355351799,INR,INR,chartevents,Labs,None,Numeric with tag,,,,1
227466,61190,0.8361459941788169,PTT,PTT,chartevents,Labs,None,Numeric with tag,,,,1
223951,60871,0.831786939232861,Capillary Refill R,Capillary Refill R,chartevents,Cardiovascular (Pulses),,Text,,,2.0,0
224308,60717,0.8296825678796409,Capillary Refill L,Capillary Refill L,chartevents,Cardiovascular (Pulses),,Text,,,2.0,0
226168,60666,0.8289856656782498,Oral Care,Oral Care,chartevents,Treatments,,Text,,,7.0,0
227968,58990,0.8060835462756727,All Medications Tolerated without Adverse Side Effects,All Medications Tolerated,chartevents,GI/GU,,Text,,,2.0,0
223784,58690,0.8019841215616075,Pain Cause,Pain Cause,chartevents,Pain/Sedation,,Text,,,11.0,0
224024,58659,0.8015605143411542,Family Communication,Family Communication,chartevents,Restraint/Support Systems,,Text,,,6.0,0
226531,58632,0.8011915661168882,Admission Weight (lbs.),Admission Weight (lbs.),chartevents,General,None,Numeric,,,,1
225054,58546,0.8000163976988562,Anti Embolic Device Status,Anti Embolic Device Status,chartevents,Treatments,,Text,,,2.0,0
224409,57482,0.7854771047129719,Pain Level Response,Pain Level Response,chartevents,Pain/Sedation,,Text,,,12.0,0
224862,57045,0.7795056093794838,Edema Amount,Edema Amount,chartevents,Skin - Incisions,,Text,,,6.0,0
