count,percentage,itemid,label,abbreviation,linksto,category,unitname,param_type,lownormalvalue,highnormalvalue
73163,0.999754034517156,220045,Heart Rate,HR,chartevents,Routine Vital Signs,bpm,Numeric,,
73083,0.9986608545934054,220210,Respiratory Rate,RR,chartevents,Respiratory,insp/min,Numeric,,
73069,0.998469548106749,220277,O2 saturation pulseoxymetry,SpO2,chartevents,Respiratory,%,Numeric,,
72755,0.9941788169060275,220048,Heart Rhythm,Heart Rhythm,chartevents,Routine Vital Signs,,Text,,
72640,0.9926073707656359,220739,GCS - Eye Opening,Eye Opening,chartevents,Neurological,,Text,,
72629,0.9924570585261202,223900,GCS - Verbal Response,Verbal Response,chartevents,Neurological,,Text,,
72618,0.9923067462866044,223901,GCS - Motor Response,Motor Response,chartevents,Neurological,,Text,,
72586,0.9918694743171041,224641,Alarms On,Alarms On,chartevents,Alarms,,Checkbox,,
72558,0.9914868613437914,224080,Head of Bed,HOB,chartevents,Treatments,,Text,,
72476,0.990366351921947,224082,Turn,Turn,chartevents,Treatments,,Text,,
72438,0.9898470914581654,224642,Temperature Site,Temp Site,chartevents,Routine Vital Signs,,Text,,
72435,0.9898060972110247,223986,RUL Lung Sounds,RUL Lung Sounds,chartevents,Pulmonary,,Text,,
72431,0.9897514382148371,223988,LUL Lung Sounds,LUL Lung Sounds,chartevents,Pulmonary,,Text,,
72413,0.9895054727319933,223987,RLL Lung Sounds,RLL Lung Sounds,chartevents,Pulmonary,,Text,,
72410,0.9894644784848526,224168,Parameters Checked,Parameters Checked,chartevents,Alarms,,Checkbox,,
72407,0.989423484237712,223989,LLL Lung Sounds,LLL Lung Sounds,chartevents,Pulmonary,,Text,,
72336,0.9884532870553833,224003,Abdominal Assessment,Abdominal Assessment,chartevents,GI/GU,,Text,,
72283,0.9877290553558984,224026,Skin Integrity,Skin Integrity,chartevents,Skin - Assessment,,Text,,
72268,0.9875240841201951,224086,Activity Tolerance,Activity Tolerance,chartevents,Treatments,,Text,,
72262,0.9874420956259138,223781,Pain Present,Pain Present,chartevents,Pain/Sedation,,Text,,
72259,0.9874011013787731,223999,Oral Cavity,Oral Cavity,chartevents,GI/GU,,Text,,
72251,0.9872917833863981,224027,Skin Temperature,Skin Temp,chartevents,Skin - Assessment,,Text,,
72240,0.9871414711468823,224860,Skin Condition,Skin Condition,chartevents,Skin - Assessment,,Text,,
72223,0.9869091704130853,220047,Heart Rate Alarm - Low,HR Alarm - Low,chartevents,Alarms,bpm,Numeric,,
72220,0.9868681761659447,220046,Heart rate Alarm - High,HR Alarm - High,chartevents,Alarms,bpm,Numeric,,
72209,0.986717863926429,220181,Non Invasive Blood Pressure mean,NBPm,chartevents,Routine Vital Signs,mmHg,Numeric,,
72208,0.9867041991773821,224004,Bowel Sounds,Bowel Sounds,chartevents,GI/GU,,Text,,
72202,0.9866222106831009,220179,Non Invasive Blood Pressure systolic,NBPs,chartevents,Routine Vital Signs,mmHg,Numeric,,
72201,0.9866085459340539,223770,O2 Saturation Pulseoxymetry Alarm - Low,SpO2 Alarm - Low,chartevents,Alarms,%,Numeric,,
72198,0.9865675516869132,220180,Non Invasive Blood Pressure diastolic,NBPd,chartevents,Routine Vital Signs,mmHg,Numeric,,
72194,0.9865128926907257,224028,Skin Color,Skin Color,chartevents,Skin - Assessment,,Text,,
72167,0.9861439444664599,223769,O2 Saturation Pulseoxymetry Alarm - High,SpO2 Alarm - High,chartevents,Alarms,%,Numeric,,
72165,0.9861166149683661,224161,Resp Alarm - High,Resp Alarm - High,chartevents,Alarms,insp/min,Numeric,,
72161,0.9860619559721786,224162,Resp Alarm - Low,Resp Alarm - Low,chartevents,Alarms,insp/min,Numeric,,
72160,0.9860482912231316,224054,Braden Sensory Perception,Braden Sensory Perception,chartevents,Skin - Assessment,,Text,,
72157,0.986007296975991,224057,Braden Mobility,Braden Mobility,chartevents,Skin - Assessment,,Text,,
72155,0.9859799674778973,224055,Braden Moisture,Braden Moisture,chartevents,Skin - Assessment,,Text,,
72153,0.9859526379798035,224056,Braden Activity,Braden Activity,chartevents,Skin - Assessment,,Text,,
72147,0.9858706494855222,224058,Braden Nutrition,Braden Nutrition,chartevents,Skin - Assessment,,Text,,
72134,0.9856930077479127,224059,Braden Friction/Shear,Braden Friction/Shear,chartevents,Skin - Assessment,,Text,,
71853,0.9818532132657384,226253,SpO2 Desat Limit,SpO2 Desat Limit,chartevents,Alarms,%,Numeric,,
71825,0.9814706002924256,224015,Urine Source,Urine Source,chartevents,GI/GU,,Text,,
71821,0.9814159412962381,224001,Diet Type,Diet Type,chartevents,GI/GU,,Text,,
71819,0.9813886117981443,223761,Temperature Fahrenheit,Temperature F,chartevents,Routine Vital Signs,°F,Numeric,,
71766,0.9806643800986595,226732,O2 Delivery Device(s),O2 Delivery Device(s),chartevents,Respiratory,,Text,,
71651,0.9790929339582679,224093,Position,Position,chartevents,Treatments,,Text,,
71586,0.9782047252702204,224031,Edema Location,Edema Location,chartevents,Skin - Incisions,,Text,,
71508,0.9771388748445635,223934,Dorsal PedPulse R,Dorsal PedPulse R,chartevents,Cardiovascular (Pulses),,Text,,
71499,0.9770158921031415,223943,Dorsal PedPulse L,Dorsal PedPulse L,chartevents,Cardiovascular (Pulses),,Text,,
71397,0.9756220877003594,227344,IV/Saline lock,IV/Saline lock,chartevents,Restraint/Support Systems,,Text,,
71396,0.9756084229513124,227345,Gait/Transferring,Gait/Transferring,chartevents,Restraint/Support Systems,,Text,,
71383,0.975430781213703,227343,Ambulatory aid,Ambulatory aid,chartevents,Restraint/Support Systems,,Text,,
71369,0.9752394747270466,227342,Secondary diagnosis,Secondary diagnosis,chartevents,Restraint/Support Systems,,Text,,
71366,0.975198480479906,227346,Mental status,Mental status,chartevents,Restraint/Support Systems,,Text,,
71285,0.9740916358071084,227341,History of falling (within 3 mnths),History of falling (within 3 mnths)*,chartevents,Restraint/Support Systems,,Text,,
71277,0.9739823178147333,224650,Ectopy Type 1,Ectopy Type 1,chartevents,Routine Vital Signs,,Text,,
70410,0.9621349803910851,227442,Potassium (serum),Potassium (serum),chartevents,Labs,None,Numeric with tag,,
70408,0.9621076508929913,220645,Sodium (serum),Sodium (serum),chartevents,Labs,None,Numeric,,
70404,0.9620529918968038,220602,Chloride (serum),Chloride (serum),chartevents,Labs,None,Numeric,,
70373,0.9616293846763504,220615,Creatinine (serum),Creatinine (serum),chartevents,Labs,None,Numeric,,
70364,0.9615064019349284,227443,HCO3 (serum),HCO3 (serum),chartevents,Labs,None,Numeric with tag,,
70363,0.9614927371858816,225624,BUN,BUN,chartevents,Labs,None,Numeric,,
70332,0.9610691299654281,227073,Anion gap,Anion gap,chartevents,Labs,None,Numeric,,
70331,0.9610554652163813,220545,Hematocrit (serum),Hematocrit (serum),chartevents,Labs,None,Numeric,,
